epoch,step,test_loss,train_accuracy,train_f1_score,train_loss,val_loss
0,749,,,,,0.2571147680282593
0,749,,0.882479190826416,0.882479190826416,0.45372122526168823,
1,1499,,,,,0.20744630694389343
1,1499,,0.9357083439826965,0.9357083439826965,0.2269902527332306,
2,2249,,,,,0.1729857623577118
2,2249,,0.9487083554267883,0.9487083554267883,0.17880879342556,
3,2999,,,,,0.15554937720298767
3,2999,,0.9572499990463257,0.9572499990463257,0.1464918702840805,
4,3749,,,,,0.139964297413826
4,3749,,0.9644791483879089,0.9644791483879089,0.12490040808916092,
5,3750,,,,,0.13996434211730957
5,3750,0.12870623171329498,,,,
