epoch,step,test_accuracy,test_loss,train_accuracy,train_f1_score,train_loss,val_accuracy,val_loss
0,749,,,,,,0.9012049436569214,0.2306092530488968
0,749,,,0.8437517285346985,0.8437517285346985,0.35368868708610535,,
1,1499,,,,,,0.923650860786438,0.16166281700134277
1,1499,,,0.9126328825950623,0.9126328825950623,0.1881488710641861,,
2,2249,,,,,,0.935705304145813,0.13296732306480408
2,2249,,,0.9289071559906006,0.9289071559906006,0.13694986701011658,,
3,2999,,,,,,0.9433304071426392,0.12595432996749878
3,2999,,,0.9389291405677795,0.9389291405677795,0.11215297132730484,,
4,3749,,,,,,0.9488208293914795,0.10946125537157059
4,3749,,,0.9457433223724365,0.9457433223724365,0.09372866153717041,,
5,3750,,,,,,0.9496668577194214,0.08203761279582977
5,3750,0.9503489136695862,0.10759969800710678,,,,,
