epoch,step,test_loss,train_loss,val_loss
0,49,,1.0966342687606812,
0,99,,0.5223219394683838,
0,149,,0.4105641543865204,
0,199,,0.4292341470718384,
0,249,,0.28007254004478455,
0,299,,0.27772948145866394,
0,349,,0.30937057733535767,
0,399,,0.21418435871601105,
0,449,,0.1897176206111908,
0,499,,0.28188860416412354,
0,549,,0.38314399123191833,
0,599,,0.24863800406455994,
0,649,,0.29550671577453613,
0,699,,0.28970780968666077,
0,749,,0.29014524817466736,
0,749,,,0.29048147797584534
1,799,,0.09985454380512238,
1,849,,0.17138302326202393,
1,899,,0.29601365327835083,
1,949,,0.23486608266830444,
1,999,,0.253731906414032,
1,1049,,0.20470383763313293,
1,1099,,0.2000945806503296,
1,1149,,0.3373366594314575,
1,1199,,0.22490034997463226,
1,1249,,0.15853437781333923,
1,1299,,0.21937961876392365,
1,1349,,0.2471720278263092,
1,1399,,0.19406597316265106,
1,1449,,0.27448469400405884,
1,1499,,0.15274281799793243,
1,1499,,,0.2258920520544052
2,1549,,0.2032879889011383,
2,1599,,0.13685700297355652,
2,1649,,0.304762065410614,
2,1699,,0.20105920732021332,
2,1749,,0.10472913831472397,
2,1799,,0.2275303155183792,
2,1849,,0.09019945561885834,
2,1899,,0.15629006922245026,
2,1949,,0.18195441365242004,
2,1999,,0.22843751311302185,
2,2049,,0.18394799530506134,
2,2099,,0.16396252810955048,
2,2149,,0.11577960848808289,
2,2199,,0.2140069156885147,
2,2249,,0.157964289188385,
2,2249,,,0.1944112330675125
3,2299,,0.14297105371952057,
3,2349,,0.2108459323644638,
3,2399,,0.12996329367160797,
3,2449,,0.15052127838134766,
3,2499,,0.12251727283000946,
3,2549,,0.11541954427957535,
3,2599,,0.2871471643447876,
3,2649,,0.029017256572842598,
3,2699,,0.1467364877462387,
3,2749,,0.11244574934244156,
3,2799,,0.2671896815299988,
3,2849,,0.0868745744228363,
3,2899,,0.3162288963794708,
3,2949,,0.07333686202764511,
3,2999,,0.05318122357130051,
3,2999,,,0.1678604781627655
4,3049,,0.06501459330320358,
4,3099,,0.1367000937461853,
4,3149,,0.22767001390457153,
4,3199,,0.05265449360013008,
4,3249,,0.06440912187099457,
4,3299,,0.18127280473709106,
4,3349,,0.06423506885766983,
4,3399,,0.0936773493885994,
4,3449,,0.05755004286766052,
4,3499,,0.11777363717556,
4,3549,,0.12179815024137497,
4,3599,,0.07706506550312042,
4,3649,,0.06510672718286514,
4,3699,,0.12126587331295013,
4,3749,,0.12508197128772736,
4,3749,,,0.1510402411222458
5,3750,,,0.15104027092456818
5,3750,0.13311198353767395,,
